,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
32,mackay,90,CA,1539309600,86,53.65,-115.58,4.0,1.0
33,georgetown,0,GY,1539309600,94,6.8,-58.16,25.0,2.1
34,talnakh,88,RU,1539312991,90,69.49,88.39,-0.68,9.51
35,mazagao,0,BR,1539309600,78,-0.12,-51.29,28.0,3.1
36,tasiilaq,92,GL,1539309000,100,65.61,-37.64,1.0,3.6
37,bosansko grahovo,0,BA,1539312992,85,44.18,16.37,4.02,0.91
38,port alfred,92,ZA,1539312992,100,-33.59,26.89,16.82,5.41
39,hobyo,0,SO,1539312993,87,5.35,48.53,24.82,7.71
40,zemio,92,CF,1539312993,99,5.02,25.13,20.42,1.41
41,yellowknife,75,CA,1539309600,86,62.45,-114.38,-1.0,2.6
42,yabrud,0,SY,1539309600,72,33.97,36.66,17.0,2.1
43,upernavik,0,GL,1539312994,100,72.79,-56.15,-3.83,5.36
44,narsaq,20,GL,1539309000,53,60.91,-46.05,-3.0,1.5
45,nabire,76,ID,1539312994,89,-3.36,135.5,24.6,1.16
46,nanakuli,90,US,1539310800,93,21.39,-158.15,26.7,4.1
47,nanortalik,20,GL,1539312994,95,60.14,-45.24,1.1,12.91
48,aklavik,90,CA,1539309600,92,68.22,-135.01,-4.0,3.1
49,punta arenas,0,CL,1539309600,70,-53.16,-70.91,7.0,6.7
50,atuona,76,PF,1539312995,100,-9.8,-139.03,26.62,8.06
51,taihe,56,CN,1539312830,66,26.8,114.92,18.45,1.86
52,husavik,44,CA,1539312995,98,50.56,-96.99,-2.16,3.46
53,bambous virieux,20,MU,1539309600,64,-20.34,57.76,22.0,5.7
54,port macquarie,90,AU,1539311400,93,-31.43,152.91,14.0,4.6
55,phuntsholing,100,IN,1539312996,86,26.86,89.38,15.45,0.61
56,boa vista,40,BR,1539309600,58,2.82,-60.67,30.0,1.5
57,yidu,36,CN,1539312997,68,30.39,111.44,18.52,1.86
58,arraial do cabo,92,BR,1539312997,98,-22.97,-42.02,22.87,2.01
59,bredasdorp,92,ZA,1539309600,67,-34.53,20.04,15.0,4.1
60,jumla,0,NP,1539312998,83,29.28,82.18,3.47,0.81
61,saint-philippe,90,CA,1539311700,100,45.36,-73.48,10.6,1.5
62,bethel,90,US,1539309180,76,60.79,-161.76,8.3,5.1
63,ushuaia,75,AR,1539309600,45,-54.81,-68.31,9.0,3.6
64,kaspiyskiy,0,RU,1539312884,100,45.39,47.37,9.82,5.21
65,yulara,0,AU,1539309600,47,-25.24,130.99,26.0,4.1
66,santa vitoria,64,BR,1539312999,94,-7.82,-67.03,24.02,1.36
67,mao,40,DO,1539309600,88,19.55,-71.08,26.0,3.1
68,geraldton,90,CA,1539311520,92,49.72,-86.95,-2.0,4.6
69,saint-pierre,0,FR,1539311400,87,48.95,4.24,15.0,4.6
70,sept-iles,90,CA,1539312240,80,50.2,-66.38,1.0,4.6
71,hilo,90,US,1539309180,69,19.71,-155.08,26.7,3.1
72,dorverden,0,DE,1539310800,82,52.85,9.23,18.0,2.6
73,ponta do sol,24,BR,1539313001,64,-20.63,-46.0,22.77,4.76
74,lorengau,32,PG,1539313001,92,-2.02,147.27,30.37,4.71
75,saint-joseph,20,FR,1539311400,93,43.56,6.97,18.0,1.5
76,asyut,0,EG,1539309600,63,27.18,31.19,18.0,3.1
77,port elizabeth,90,US,1539311580,96,39.31,-74.98,24.4,6.2
78,cervo,56,BR,1539313002,94,-22.19,-46.24,17.6,2.51
79,kavieng,68,PG,1539313002,99,-2.57,150.8,30.02,4.16
80,praia,56,BR,1539313002,76,-20.25,-43.81,20.42,1.61
81,kavaratti,80,IN,1539313002,99,10.57,72.64,28.77,4.51
82,karlivka,0,UA,1539313003,75,49.46,35.11,6.17,4.66
83,itarema,0,BR,1539313003,87,-2.92,-39.92,24.42,6.16
84,agadez,0,NE,1539313003,25,16.97,7.99,22.6,3.61
85,severo-kurilsk,92,RU,1539313003,95,50.68,156.12,9.32,6.16
86,torbay,90,CA,1539309600,69,47.66,-52.73,2.0,3.6
87,bonavista,24,CA,1539313004,100,48.65,-53.11,3.52,5.36
88,svolvaer,0,NO,1539310800,76,68.23,14.57,11.0,9.8
89,saint george,20,GR,1539310800,67,39.45,22.34,16.0,2.6
90,tuktoyaktuk,90,CA,1539311640,100,69.44,-133.03,-5.0,3.1
91,bluff,92,AU,1539313005,59,-23.58,149.07,26.17,4.66
92,dingle,24,PH,1539313005,71,11.0,122.67,30.1,4.76
93,vanavara,0,RU,1539313005,61,60.35,102.28,1.37,1.76
94,sinnamary,20,GF,1539313006,94,5.38,-52.96,27.27,6.21
95,nongan,0,CN,1539309600,37,44.43,125.17,13.0,5.0
96,sitka,92,US,1539313006,83,37.17,-99.65,8.7,4.76
97,ancud,24,CL,1539313007,84,-41.87,-73.83,4.42,1.21
98,kattivakkam,40,IN,1539311400,83,13.22,80.32,28.0,4.1
99,lixourion,75,GR,1539310800,77,38.2,20.43,17.0,0.5
100,atambua,0,ID,1539313007,73,-9.11,124.89,30.0,1.61
101,swan river,0,CA,1539313007,78,52.11,-101.27,-5.78,2.01
102,norman wells,75,CA,1539309600,86,65.28,-126.83,-2.0,1.5
103,merauke,48,ID,1539313008,65,-8.49,140.4,31.37,3.61
104,qaanaaq,64,GL,1539312784,100,77.48,-69.36,-5.28,4.66
105,taoudenni,0,ML,1539313008,33,22.68,-3.98,25.1,4.41
106,plettenberg bay,100,ZA,1539313009,100,-34.05,23.37,15.37,5.66
107,khlung,20,TH,1539309600,70,12.46,102.22,31.0,3.1
108,kahului,90,US,1539312060,88,20.89,-156.47,30.0,3.21
109,shush,0,RU,1539313010,57,55.6,89.45,4.92,4.41
110,leh,76,IN,1539313010,66,34.16,77.58,-7.88,0.91
111,ahipara,80,NZ,1539313010,84,-35.17,173.16,15.0,10.76
112,barrow,92,AR,1539313011,47,-38.31,-60.23,10.7,3.06
113,avarua,75,CK,1539309600,65,-21.21,-159.78,26.0,7.7
114,carnarvon,92,ZA,1539313011,43,-30.97,22.13,13.6,3.91
115,port angeles,1,US,1539309600,74,48.12,-123.43,12.0,0.51
116,arona,75,IT,1539310800,93,45.76,8.56,15.0,2.6
117,constitucion,40,MX,1539308580,32,23.99,-104.67,19.0,3.6
118,lokot,0,RU,1539313013,77,52.57,34.57,1.0,1.31
119,mount gambier,0,AU,1539313013,66,-37.83,140.78,20.45,3.01
120,artyom,0,RU,1539309600,98,43.36,132.19,12.0,4.0
121,thompson,5,CA,1539309600,58,55.74,-97.86,-4.0,2.21
122,aykhal,76,RU,1539313014,83,65.95,111.51,-3.18,2.21
123,aripuana,36,BR,1539313014,95,-9.17,-60.63,23.0,0.06
124,hithadhoo,48,MV,1539312783,98,-0.6,73.08,28.97,2.11
125,severnoye,80,RU,1539313015,75,54.09,52.54,2.12,5.56
126,pevek,0,RU,1539313015,100,69.7,170.27,1.0,2.66
127,klaksvik,32,FO,1539310800,100,62.23,-6.59,9.0,4.6
128,camabatela,92,AO,1539313015,96,-8.19,15.37,19.1,1.76
129,sharya,0,RU,1539313016,87,58.37,45.52,1.85,2.76
130,sanghar,0,PK,1539313016,50,28.18,68.31,21.32,1.06
131,aswan,0,EG,1539313016,72,24.09,32.9,17.6,2.51
132,chitral,20,PK,1539313016,77,35.85,71.79,-6.66,0.41
133,ouesso,92,CG,1539313017,100,1.61,16.05,21.2,1.16
134,coihaique,0,CL,1539309600,72,-45.58,-72.07,7.0,2.6
135,beloha,0,MG,1539313017,83,-25.17,45.06,18.95,3.41
136,tuatapere,88,NZ,1539313017,100,-46.13,167.69,6.67,8.56
137,manzhouli,0,CN,1539313017,46,49.6,117.43,11.02,2.06
138,camopi,0,GF,1539313018,68,3.17,-52.33,26.17,2.21
139,alofi,75,NU,1539309600,83,-19.06,-169.92,28.0,4.6
140,lilongwe,68,MW,1539313018,86,-13.97,33.79,16.85,1.76
141,bani,0,PH,1539313018,85,15.89,120.27,29.27,0.46
142,vila franca do campo,75,PT,1539311400,88,37.72,-25.43,22.0,11.8
143,nizwa,0,OM,1539313019,42,22.93,57.53,15.35,1.16
144,sibolga,88,ID,1539313019,99,1.74,98.78,22.47,1.06
145,pacific grove,1,US,1539311700,63,36.62,-121.92,16.7,3.6
146,baruun-urt,0,MN,1539313020,36,46.68,113.28,10.0,6.46
147,empalme,90,MX,1539308400,74,27.96,-110.81,28.0,1.21
148,gigmoto,64,PH,1539313020,100,13.78,124.39,28.1,3.76
149,minab,0,IR,1539309600,73,27.15,57.07,23.0,2.1
150,saint-louis,0,CH,1539311400,87,47.59,7.56,13.0,3.6
151,klyuchevsk,75,RU,1539309600,84,57.12,60.94,1.0,6.0
152,zhigansk,80,RU,1539313022,88,66.77,123.37,-0.51,1.46
153,altamont,0,CA,1539310500,100,49.4,-98.5,-4.0,3.86
154,esperance,20,TT,1539309600,83,10.24,-61.45,27.0,2.1
155,tarakan,64,ID,1539313023,89,3.3,117.63,29.6,0.66
156,petropavlovsk-kamchatskiy,64,RU,1539309600,53,53.05,158.65,11.0,2.0
157,slonim,0,BY,1539313023,93,53.09,25.32,8.25,4.46
158,port blair,64,IN,1539313023,100,11.67,92.75,28.25,4.16
159,williams lake,75,CA,1539309600,69,52.13,-122.14,4.0,3.6
160,porto belo,75,BR,1539309600,88,-27.15,-48.54,20.0,6.2
161,chuy,100,UY,1539312797,100,-33.69,-53.46,11.0,3.71
162,ketchikan,90,US,1539311520,89,55.34,-131.65,10.6,5.7
163,komatipoort,0,MZ,1539313024,81,-25.43,31.96,19.72,2.21
164,leshukonskoye,32,RU,1539313024,88,64.9,45.76,2.02,4.11
165,yegorlykskaya,0,RU,1539313025,74,46.56,40.65,8.85,5.41
166,vila velha,0,BR,1539309600,83,-3.71,-38.6,26.0,4.6
167,ixtapa,75,MX,1539308640,74,20.71,-105.21,28.0,2.1
168,kodiak,1,US,1539309180,88,39.95,-94.76,5.6,1.31
169,albesti,0,RO,1539311400,76,47.7,27.07,10.0,2.6
170,puri,20,ID,1539311400,52,-7.54,112.45,32.0,3.1
171,pucallpa,75,PE,1539309600,88,-8.38,-74.54,25.0,1.5
172,vanimo,36,PG,1539313026,100,-2.67,141.3,28.82,5.21
173,kralendijk,8,BQ,1539313027,100,12.15,-68.27,28.42,3.66
174,kuytun,0,RU,1539313027,75,54.34,101.51,4.27,1.51
175,mananjary,76,MG,1539313027,86,-19.16,46.8,14.2,3.91
176,cidreira,68,BR,1539313028,76,-30.17,-50.22,17.75,7.86
177,abu kamal,88,SY,1539313028,40,34.45,40.92,24.07,4.96
178,jieshi,76,CN,1539313028,100,22.82,115.83,22.02,8.86
179,hambantota,80,LK,1539313028,100,6.12,81.12,25.35,2.21
180,brae,92,GB,1539310800,93,60.4,-1.35,13.0,7.7
181,san andres,0,PH,1539313029,100,13.32,122.68,29.02,3.61
182,karratha,0,AU,1539313030,16,-20.74,116.85,35.52,2.81
183,mehriz,0,IR,1539309600,33,31.58,54.44,17.0,0.96
184,liezen,36,AT,1539313031,90,47.57,14.24,1.02,0.76
185,cabo san lucas,5,MX,1539308580,73,22.89,-109.91,25.0,1.5
186,faya,0,SA,1539309600,36,18.39,42.45,16.0,1.96
187,lavrentiya,88,RU,1539313032,100,65.58,-170.99,6.07,8.56
188,bilibino,12,RU,1539313032,77,68.06,166.44,-5.48,1.36
189,pangody,92,RU,1539312762,100,65.85,74.49,-0.53,2.66
190,tiksi,44,RU,1539313032,98,71.64,128.87,-1.56,1.76
191,coquimbo,0,CL,1539309600,81,-29.95,-71.34,11.0,1.5
192,sao filipe,0,CV,1539312844,95,14.9,-24.5,26.5,4.61
193,galle,90,US,1539310380,68,29.74,-97.91,21.7,3.6
194,manapparai,40,IN,1539311400,78,10.61,78.42,28.0,2.81
195,thyboron,32,DK,1539313034,90,56.7,8.21,12.75,5.01
196,airai,0,TL,1539313034,32,-8.93,125.41,31.25,0.76
197,suntar,92,RU,1539313034,95,62.16,117.65,4.27,3.26
198,colac,0,AU,1539313034,60,-38.34,143.59,19.62,1.51
199,la ronge,5,CA,1539309600,69,55.1,-105.3,1.0,2.1
200,parabel,88,RU,1539313035,59,58.71,81.5,10.62,6.11
201,lompoc,75,US,1539311700,67,34.64,-120.46,17.2,3.6
202,namwala,0,ZM,1539313036,64,-15.75,26.45,15.57,2.76
203,jaszszentandras,0,HU,1539310500,93,47.58,20.18,8.0,0.96
204,laguna,75,MX,1539308520,69,27.52,-110.01,26.0,1.5
205,greeley,90,US,1539310500,75,41.55,-98.53,7.8,2.56
206,neiafu,75,TO,1539309600,74,-18.65,-173.98,28.0,5.1
207,nieves,12,MX,1539313037,53,24.0,-103.02,15.17,0.86
208,ginda,0,IN,1539313037,72,30.69,78.49,10.62,0.91
209,borogontsy,88,RU,1539313038,72,62.67,131.17,-1.28,2.11
210,lewistown,1,US,1539311700,86,40.39,-90.15,5.6,2.1
211,samarai,68,PG,1539313038,100,-10.62,150.67,26.37,5.66
212,qianan,0,CN,1539313039,51,44.99,124.06,15.82,5.11
213,chicama,75,PE,1539309600,77,-7.84,-79.15,19.0,4.1
214,beringovskiy,92,RU,1539313040,100,63.05,179.32,5.02,10.96
215,port lincoln,0,AU,1539313040,78,-34.72,135.86,19.07,6.31
216,ponta delgada,75,PT,1539311400,88,37.73,-25.67,22.0,11.8
217,rock sound,64,BS,1539312833,100,24.9,-76.2,28.5,5.11
218,bowen,75,AU,1539309600,51,-20.01,148.25,30.0,6.7
219,dalby,90,AU,1539309600,72,-27.18,151.26,17.0,9.3
220,nuuk,0,GL,1539309000,73,64.17,-51.74,-4.0,5.1
221,henties bay,92,NA,1539313041,100,-22.12,14.28,14.12,2.96
222,makat,0,KZ,1539313042,73,47.65,53.35,4.35,5.71
223,ilek,0,RU,1539313042,72,51.53,53.38,1.97,5.16
224,paamiut,0,GL,1539312803,100,61.99,-49.67,1.77,12.86
225,maanshan,0,CN,1539309600,42,31.7,118.5,19.0,3.0
226,pangoa,76,PE,1539313043,96,-12.12,-73.0,19.12,0.41
227,thunder bay,20,CA,1539309600,82,48.41,-89.26,0.0,4.1
228,sobolevo,0,RU,1539313043,78,54.43,31.9,0.47,1.26
229,nayoro,92,JP,1539313043,100,44.36,142.46,10.62,1.66
230,muravlenko,92,RU,1539313044,98,63.79,74.5,0.02,4.56
231,raudeberg,48,NO,1539310800,59,61.99,5.14,16.0,6.7
232,omsukchan,48,RU,1539312877,79,62.53,155.8,-1.58,1.61
233,ibra,0,OM,1539313045,54,22.69,58.55,12.52,1.06
234,chapais,90,CA,1539311160,100,49.78,-74.86,3.0,3.1
235,nieuw amsterdam,0,SR,1539309600,83,5.88,-55.08,26.0,3.1
236,manaus,88,BR,1539313046,91,-3.13,-59.98,24.45,0.66
237,dorogobuzh,0,RU,1539313046,79,54.91,33.3,-0.26,1.31
238,marawi,44,PH,1539312801,89,8.0,124.29,25.85,0.81
239,den helder,75,NL,1539311100,88,52.96,4.76,17.0,8.7
240,cap malheureux,20,MU,1539309600,64,-19.98,57.61,22.0,5.7
241,anadyr,75,RU,1539309600,89,64.73,177.51,4.0,5.0
242,venado tuerto,100,AR,1539313048,100,-33.75,-61.97,10.07,3.66
243,pueblo nuevo,0,MX,1539313048,84,23.99,-106.96,23.52,1.06
244,tougan,44,BF,1539313049,74,13.07,-3.07,25.5,0.06
245,faanui,36,PF,1539313049,100,-16.48,-151.75,26.57,6.86
246,sao joao da barra,76,BR,1539313049,100,-21.64,-41.05,23.72,1.21
247,ishimbay,88,RU,1539313050,85,53.45,56.04,2.97,6.16
248,kandrian,92,PG,1539313050,82,-6.21,149.55,28.07,2.36
249,abu dhabi,0,AE,1539309600,30,24.47,54.37,27.0,1.0
250,mahibadhoo,92,MV,1539313051,99,3.78,72.97,28.35,3.86
251,butaritari,44,KI,1539313051,100,3.07,172.79,28.57,3.46
252,nueva guinea,56,NI,1539313051,82,11.69,-84.46,26.02,2.16
253,butembo,56,CD,1539313051,100,0.12,29.29,15.77,1.01
254,mopipi,0,BW,1539313051,39,-21.2,24.86,15.97,2.86
255,hodosa,0,RO,1539311400,93,46.63,24.82,3.0,1.21
256,karasjok,8,NO,1539310800,78,69.47,25.52,0.0,1.0
257,ostrovnoy,12,RU,1539313052,89,68.05,39.51,-2.08,5.11
258,kemlya,0,RU,1539313052,91,54.69,45.24,-0.06,3.76
259,coruripe,92,BR,1539313053,100,-10.12,-36.18,24.72,5.51
260,lityn,0,UA,1539313053,86,49.32,28.09,3.2,1.51
261,villa rica,48,PE,1539313053,98,-10.74,-75.27,20.37,0.41
262,dunedin,92,NZ,1539312968,85,-45.87,170.5,3.7,7.66
263,bintulu,75,MY,1539309600,79,3.17,113.03,30.0,1.5
264,avera,1,US,1539311700,65,33.19,-82.53,23.9,2.6
265,lata,0,IN,1539312793,72,30.78,78.62,10.62,0.91
266,jalu,0,LY,1539313055,69,29.03,21.55,15.82,2.86
267,pontianak,75,ID,1539311400,94,-0.02,109.34,26.0,1.5
268,yertsevo,48,RU,1539313055,86,60.8,40.09,-1.03,2.41
269,souillac,0,FR,1539311400,100,45.6,-0.6,17.0,1.5
270,anakapalle,12,IN,1539313055,80,17.69,83.0,28.97,4.56
271,clyde river,40,CA,1539309600,73,70.47,-68.59,-6.0,2.76
272,la orilla,0,MX,1539313056,95,18.0,-102.23,26.2,2.16
273,byron bay,90,AU,1539311400,72,-28.65,153.62,20.0,5.1
274,chernoistochinsk,88,RU,1539313056,78,57.74,59.87,-0.51,4.01
275,puerto ayora,0,EC,1539313056,100,-0.74,-90.35,21.27,5.76
276,maibong,92,IN,1539313057,99,25.3,93.13,20.95,1.06
277,ola,90,RU,1539309600,87,59.58,151.3,7.0,1.0
278,berlevag,75,NO,1539310800,93,70.86,29.09,5.0,3.11
279,nantucket,90,US,1539312300,96,41.28,-70.1,22.2,4.1
280,dalbandin,0,PK,1539313058,32,28.9,64.41,9.77,2.51
281,sikeston,1,US,1539312900,71,36.88,-89.59,11.0,2.1
282,sampit,20,ID,1539313060,85,-2.54,112.95,30.2,1.96
283,pozoblanco,92,ES,1539311400,73,38.38,-4.85,21.0,2.1
284,ca mau,80,VN,1539313061,100,9.18,105.15,26.67,1.71
285,pisco,90,PE,1539309600,88,-13.71,-76.2,18.0,7.2
286,hohhot,0,CN,1539309600,29,40.81,111.65,10.0,1.0
287,salinas,1,US,1539311700,63,36.67,-121.66,16.7,3.6
288,comodoro rivadavia,0,AR,1539309600,34,-45.87,-67.48,12.0,4.1
289,hamilton,90,CA,1539309600,66,43.26,-79.87,12.0,7.2
290,morondava,20,MG,1539313062,99,-20.3,44.28,22.32,1.66
291,grand-lahou,88,CI,1539313063,94,5.24,-5.0,24.35,2.06
292,pedernales,64,EC,1539313063,96,0.07,-80.05,19.92,1.86
293,touros,88,BR,1539312880,93,-5.2,-35.46,24.25,6.41
294,bjornevatn,0,NO,1539310800,100,69.67,29.98,2.0,4.1
295,bandarban,90,BD,1539309600,94,22.2,92.22,25.0,2.6
296,ust-kan,0,RU,1539313064,66,50.93,84.77,0.37,1.41
297,margate,75,AU,1539311400,58,-43.03,147.26,15.0,4.6
298,igarapava,80,BR,1539313064,98,-20.04,-47.75,20.52,1.31
299,fort saint james,92,CA,1539313064,97,54.43,-124.25,4.07,1.46
300,olavarria,92,AR,1539313064,56,-36.89,-60.32,10.92,3.86
301,bodh gaya,90,IN,1539309600,100,24.7,84.98,22.0,5.1
302,davenport,1,US,1539311700,75,41.52,-90.58,6.1,3.51
303,haines junction,32,CA,1539313065,84,60.75,-137.51,-1.51,0.96
304,salalah,0,OM,1539309000,66,17.01,54.1,29.0,8.7
305,necochea,92,AR,1539313065,68,-38.55,-58.74,9.67,5.01
306,seguin,90,US,1539310380,68,29.57,-97.96,23.3,3.6
307,pangnirtung,0,CA,1539312823,100,66.15,-65.72,-9.83,5.21
308,sunndalsora,0,NO,1539310800,42,62.68,8.55,17.0,8.7
309,ilulissat,0,GL,1539309000,66,69.22,-51.1,-12.0,1.5
310,kaitangata,92,NZ,1539313066,68,-46.28,169.85,6.32,9.76
311,svetlogorsk,40,RU,1539309600,74,53.14,59.15,1.0,3.0
312,cloquet,90,US,1539311700,74,46.72,-92.46,0.5,4.6
313,hasaki,75,JP,1539309600,82,35.73,140.83,20.0,5.1
314,tommerup,0,DK,1539310800,93,55.32,10.21,13.0,3.1
315,pundaguitan,12,PH,1539313067,97,6.37,126.17,29.22,0.76
316,port saint john,1,US,1539309360,87,28.48,-80.79,27.8,3.1
317,lufilufi,64,WS,1539313068,100,-13.87,-171.6,27.77,7.41
318,horsham,0,AU,1539313068,76,-36.71,142.2,19.02,5.61
319,vestmannaeyjar,56,IS,1539313068,91,63.44,-20.27,7.97,10.21
320,kon tum,8,VN,1539313068,65,14.36,108.0,26.32,2.81
321,dakar,0,SN,1539309600,88,14.69,-17.45,27.0,2.1
322,makakilo city,90,US,1539310800,93,21.35,-158.09,26.7,4.1
323,kalmunai,68,LK,1539313069,93,7.42,81.82,26.12,3.86
324,porbandar,40,IN,1539309600,74,21.64,69.61,27.0,4.1
325,shimoda,75,JP,1539309600,78,34.7,138.93,23.0,5.1
326,wollerau,20,CH,1539310800,100,47.2,8.72,10.0,1.81
327,oron,92,NG,1539313070,100,4.81,8.23,23.95,1.41
328,saldanha,24,PT,1539313070,95,41.42,-6.55,10.77,2.91
329,ust-nera,32,RU,1539313071,88,64.57,143.24,-9.66,1.16
330,norrtalje,0,SE,1539310800,100,59.76,18.7,9.0,2.6
331,puerto ayacucho,75,CO,1539309600,94,5.66,-67.63,25.0,1.5
332,mareeba,0,AU,1539311400,62,-16.99,145.42,29.0,4.6
333,harper,90,US,1539310500,63,30.3,-99.24,21.1,1.5
334,yurla,64,RU,1539313072,76,59.33,54.32,-0.01,4.66
335,la union,92,GT,1539313072,97,14.97,-89.29,21.17,0.66
336,garowe,12,SO,1539313073,84,8.41,48.48,17.82,1.26
337,dudinka,92,RU,1539313073,88,69.41,86.18,-0.23,9.76
338,saveh,8,IR,1539313073,80,35.02,50.36,9.2,1.41
339,abapo,92,BO,1539313073,99,-18.83,-63.47,17.35,0.96
340,namatanai,24,PG,1539313074,98,-3.66,152.44,29.37,3.46
341,poum,0,MK,1539313074,87,41.28,20.71,2.32,1.16
342,yichun,0,CN,1539313074,54,47.72,128.88,11.35,1.66
343,chagoda,56,RU,1539313074,97,59.16,35.33,4.27,3.11
344,xuddur,0,SO,1539312938,78,4.12,43.89,20.7,4.46
345,atar,48,MR,1539313075,44,20.52,-13.05,24.02,1.86
346,kruisfontein,100,ZA,1539313075,100,-34.0,24.73,15.47,5.56
347,banjar,12,ID,1539313075,56,-7.37,108.54,29.85,1.66
348,fortuna,0,ES,1539311400,93,38.18,-1.13,18.0,2.6
349,rize,75,TR,1539310800,93,41.02,40.52,19.0,1.5
350,fukue,75,JP,1539309600,56,35.03,136.69,21.0,11.8
351,saskylakh,64,RU,1539313076,96,71.97,114.09,-2.88,2.06
352,marzuq,0,YE,1539313077,49,14.4,46.47,9.82,0.61
353,salekhard,44,RU,1539313077,83,66.54,66.62,-2.73,6.26
354,san cristobal,40,EC,1539309600,71,-0.39,-78.55,11.0,4.1
355,flora,44,PH,1539313077,79,18.21,121.42,26.62,1.31
356,kerchevskiy,76,RU,1539313077,83,59.95,56.29,0.2,5.01
357,paciran,8,ID,1539313078,46,-6.9,112.33,33.42,1.51
358,saint-augustin,0,FR,1539311400,93,44.83,-0.61,17.0,3.6
359,carmen,12,PH,1539313079,47,7.2,124.8,33.95,1.46
360,maraba,0,BR,1539309600,88,-5.35,-49.1,26.0,1.0
361,tarija,20,BO,1539309600,82,-21.53,-64.73,17.0,1.11
362,koumac,56,NC,1539313079,75,-20.56,164.28,24.67,1.16
363,nehoiu,0,RO,1539313079,85,45.42,26.3,3.25,0.96
364,vao,8,EE,1539313080,97,59.1,26.19,8.87,2.66
365,ubinskoye,48,RU,1539313080,58,55.31,79.68,8.87,7.66
366,cairo,0,EG,1539311400,73,30.05,31.24,22.0,1.06
367,chongwe,0,ZM,1539313080,65,-15.33,28.68,15.52,2.26
368,soyo,68,AO,1539312869,96,-6.13,12.37,22.77,1.31
369,isangel,8,VU,1539313081,99,-19.55,169.27,24.85,3.86
370,srednekolymsk,88,RU,1539313081,84,67.46,153.71,-2.06,1.41
371,umm lajj,0,SA,1539313082,100,25.02,37.27,22.07,3.46
372,oranjemund,92,ZA,1539313082,97,-28.55,16.43,15.02,10.81
373,cayenne,0,GF,1539311400,100,4.94,-52.33,25.0,2.1
374,bahir dar,20,ET,1539313082,87,11.59,37.39,11.45,1.76
375,kirovsk,0,RU,1539313082,95,67.62,33.66,-5.63,0.86
376,gdov,0,RU,1539313083,95,58.74,27.82,9.42,4.66
377,erzin,40,TR,1539310800,64,36.95,36.2,20.0,1.5
378,hovd,0,NO,1539310800,62,63.83,10.7,14.0,9.3
379,cockburn town,100,TC,1539312982,100,21.46,-71.14,27.52,5.06
380,shunyi,0,CN,1539309600,50,40.13,116.65,13.0,1.0
381,antalaha,92,MG,1539313084,96,-14.9,50.28,22.22,5.41
382,bouna,68,CI,1539313084,98,9.27,-3.0,20.85,3.01
383,naze,80,NG,1539312807,97,5.43,7.07,21.75,1.36
384,manzanillo,48,CU,1539313085,100,20.34,-77.12,26.57,4.76
385,charters towers,48,AU,1539312844,60,-20.07,146.27,29.1,4.26
386,praia da vitoria,40,PT,1539309600,88,38.73,-27.07,21.0,16.26
